data;

set TIMESLOTS := 1 2 3 4 5 6;
set TIMESLOTS1 := 1 2 3 4 5;
set ORIGIN := 1 2 3 4 5 6;
set DESTINATION := 1 2 3 4 5 6;
param Flights := 6;

param TICKETCOST:
  1 2 3 4 5 6:=
1 0 1 1 1 1 1
2 1 0 1 1 1 1
3 1 1 0 1 1 1
4 1 1 1 0 1 1
5 1 1 1 1 0 1
6 1 1 1 1 1 0;

param S1 :=
1 0
2 1 
3 0
4 0
5 0
6 0;
param S2 :=
1 0
2 0 
3 0
4 1
5 0
6 0;
param S3 :=
1 0
2 0
3 0
4 1
5 0
6 0;
param S4 :=
1 0
2 0
3 0
4 1
5 0
6 0;
param S5 :=
1 0
2 0
3 0
4 1
5 0
6 0;
param S6 :=
1 0
2 0
3 0
4 0
5 1
6 0;
param S7 :=
1 0
2 0
3 0
4 0
5 1
6 0;

param E1 :=
1 0
2 0
3 0
4 0
5 0
6 1;
param E2 := 
1 1
2 0
3 0
4 0
5 0
6 0;
param E3 := 
1 0
2 1
3 0
4 0
5 0
6 0;
param E4 :=
1 0
2 1
3 0
4 0
5 0
6 0;
param E5 := 
1 0
2 0
3 0
4 0
5 1
6 0;
param E6 :=
1 0
2 1
3 0
4 0
5 0
6 0;
param E7 := 
1 0
2 0
3 0
4 0
5 0
6 1;



end;
